OBJECTID,evt_date,location,zone,rucr_ext_d
26090,2020-01-31 8:00:00 PM,SOUTH PARK ST,C4,ASSAULT
26091,2020-01-31 8:00:00 PM,WAVERLEY RD,FAL,BREAK AND ENTER
26092,2020-01-31 8:00:00 PM,HADDAD DR,SAC,ASSAULT
26093,2020-01-31 8:00:00 PM,MYRA RD,POR,ASSAULT
26094,2020-01-31 8:00:00 PM,MELROSE AVE,W3,ASSAULT
26095,2020-01-31 8:00:00 PM,ONYX CRES,W1,ASSAULT
26096,2020-01-31 8:00:00 PM,LA PIERRE CRES,E1,ROBBERY
26097,2020-01-31 8:00:00 PM,COBURG RD,C1,BREAK AND ENTER
26098,2020-01-31 8:00:00 PM,KENNEDY DR,E7,ASSAULT
26099,2020-01-31 8:00:00 PM,ALBERT HOWE LANE,SHE,ASSAULT
26100,2020-01-31 8:00:00 PM,ARGYLE ST / PRINCE ST,C4,ROBBERY
26101,2020-01-31 8:00:00 PM,ASTRAL DR,COL,BREAK AND ENTER
26102,2020-01-31 8:00:00 PM,KINGFISHER CRES,W5,THEFT FROM VEHICLE
26103,2020-01-31 8:00:00 PM,CHAIN LAKE DR,W4,ASSAULT
26104,2020-01-31 8:00:00 PM,PETTIPAS DR,E6,THEFT FROM VEHICLE
26105,2020-01-31 8:00:00 PM,GOTTINGEN ST,C4,ASSAULT
26106,2020-01-31 8:00:00 PM,OCEANVIEW DR,W6,ASSAULT
26107,2020-01-31 8:00:00 PM,BEAVER BANK RD,BVR,ASSAULT
26108,2020-02-01 8:00:00 PM,KATRINA CRES,W1,ASSAULT
26109,2020-02-01 8:00:00 PM,RIVERSIDE DR,SAC,ASSAULT
26110,2020-02-01 8:00:00 PM,GOTTINGEN ST,C4,BREAK AND ENTER
26111,2020-02-01 8:00:00 PM,HIGHFIELD PARK DR,E5,ASSAULT
26112,2020-02-01 8:00:00 PM,WALKER AVE,SAC,THEFT OF VEHICLE
26113,2020-02-01 8:00:00 PM,PETER THOMAS DR,FAL,ASSAULT
26114,2020-02-01 8:00:00 PM,HIGHWAY 7,JED,BREAK AND ENTER
26115,2020-02-01 8:00:00 PM,JACKSON RD,E5,ASSAULT
26116,2020-02-01 8:00:00 PM,LONG LAKE DR,W4,BREAK AND ENTER
26117,2020-02-01 8:00:00 PM,ROSE WAY,E3,ASSAULT
26118,2020-02-02 8:00:00 PM,ROYAL MASTS WAY,W6,THEFT FROM VEHICLE
26119,2020-02-02 8:00:00 PM,OCEANVIEW DR,W6,THEFT FROM VEHICLE
26120,2020-02-02 8:00:00 PM,LEE MURPHY CRES,W1,BREAK AND ENTER
26121,2020-02-02 8:00:00 PM,ROYAL MASTS WAY,W6,THEFT FROM VEHICLE
26122,2020-02-02 8:00:00 PM,SCHOLARS RD,BLT,ASSAULT
26123,2020-02-02 8:00:00 PM,ATLANTIC ST,E2,THEFT FROM VEHICLE
26124,2020-02-02 8:00:00 PM,BARRINGTON ST,C4,ROBBERY
26125,2020-02-02 8:00:00 PM,UPPER WATER ST,C4,THEFT FROM VEHICLE
26126,2020-02-02 8:00:00 PM,MACARA ST,C5,ASSAULT
26127,2020-02-02 8:00:00 PM,FEDERAL AVE,C3,ASSAULT
26128,2020-02-02 8:00:00 PM,MEMORIAL DR,C5,BREAK AND ENTER
26129,2020-02-02 8:00:00 PM,DELMAC CRT,E7,ASSAULT
26130,2020-02-02 8:00:00 PM,CONNOLLY RD,SAC,BREAK AND ENTER
26131,2020-02-02 8:00:00 PM,WESTWOOD BLVD,HAM,THEFT FROM VEHICLE
26132,2020-02-02 8:00:00 PM,WINDSOR ST,C5,ROBBERY
26133,2020-02-02 8:00:00 PM,DUFFUS ST,C5,ROBBERY
26134,2020-02-02 8:00:00 PM,GERRISH ST,C4,THEFT FROM VEHICLE
26135,2020-02-02 8:00:00 PM,GLORIA MCCLUSKEY AVE,E6,ASSAULT
26136,2020-02-02 8:00:00 PM,KEARNEY LAKE RD,W5,BREAK AND ENTER
26137,2020-02-02 8:00:00 PM,YOUNG ST,C5,BREAK AND ENTER
26138,2020-02-02 8:00:00 PM,GORDON AVE,W3,ASSAULT
26139,2020-02-02 8:00:00 PM,BILBY ST,C5,THEFT FROM VEHICLE
26140,2020-02-02 8:00:00 PM,BLOOMFIELD ST,C5,THEFT FROM VEHICLE
26141,2020-02-03 8:00:00 PM,MICMAC ST,C3,THEFT OF VEHICLE
26142,2020-02-03 8:00:00 PM,DONALDSON AVE,W5,BREAK AND ENTER
26143,2020-02-03 8:00:00 PM,SOUTH ST,C1,ASSAULT
26144,2020-02-03 8:00:00 PM,VICTORIA RD,E5,ASSAULT
26145,2020-02-03 8:00:00 PM,LACEWOOD DR,W3,THEFT FROM VEHICLE
26146,2020-02-03 8:00:00 PM,POWERS RD,SHE,ASSAULT
26147,2020-02-03 8:00:00 PM,SACKVILLE DR,SAC,ASSAULT
26148,2020-02-03 8:00:00 PM,SACKVILLE DR,SAC,BREAK AND ENTER
26149,2020-02-03 8:00:00 PM,ST MARGARETS BAY RD,BLT,THEFT FROM VEHICLE
26150,2020-02-03 8:00:00 PM,MOIRS MILL RD,W6,THEFT FROM VEHICLE
26151,2020-02-03 8:00:00 PM,PORTLAND HILLS DR,E1,THEFT OF VEHICLE
26152,2020-02-03 8:00:00 PM,OCEANVIEW DR,W6,THEFT FROM VEHICLE
26153,2020-02-03 8:00:00 PM,OCEANBREEZE AVE,W2,ASSAULT
26154,2020-02-03 8:00:00 PM,FEDERAL AVE,C3,THEFT FROM VEHICLE
26155,2020-02-03 8:00:00 PM,JACKSON RD,E5,ASSAULT
26156,2020-02-03 8:00:00 PM,DUNBRACK ST / KNIGHTSRIDGE DR,W5,ASSAULT
26157,2020-02-03 8:00:00 PM,WILLIAMS LAKE RD,W2,ASSAULT
26158,2020-02-03 8:00:00 PM,JACKSON RD,E5,THEFT OF VEHICLE
26159,2020-02-03 8:00:00 PM,LAKEFRONT RD,E3,ASSAULT
26160,2020-02-03 8:00:00 PM,SYLVIA AVE,W1,ASSAULT
26161,2020-02-04 8:00:00 PM,SCHOOL AVE,W3,BREAK AND ENTER
26162,2020-02-04 8:00:00 PM,HIGHFIELD PARK DR,E5,ASSAULT
26163,2020-02-04 8:00:00 PM,SACKVILLE DR,SAC,BREAK AND ENTER
26164,2020-02-04 8:00:00 PM,VICTORIA RD,E5,ASSAULT
26165,2020-02-04 8:00:00 PM,CHAIN LAKE DR,W4,ASSAULT
26166,2020-02-04 8:00:00 PM,RUFUS AVE,W3,THEFT FROM VEHICLE
26167,2020-02-04 8:00:00 PM,BEDFORD HWY,W6,THEFT FROM VEHICLE
26168,2020-02-04 8:00:00 PM,HIGHWAY 7,POR,ASSAULT
26169,2020-02-05 8:00:00 PM,FREDERICK ST,W6,ASSAULT
26170,2020-02-05 8:00:00 PM,CLEARVIEW ST,W1,THEFT FROM VEHICLE
26171,2020-02-05 8:00:00 PM,MICMAC BLVD,E4,ASSAULT
26172,2020-02-05 8:00:00 PM,SACKVILLE DR,SAC,ROBBERY
26173,2020-02-05 8:00:00 PM,A EVANS AVE,W3,ASSAULT
26174,2020-02-05 8:00:00 PM,SACKVILLE DR,MSA,ASSAULT
26175,2020-02-06 8:00:00 PM,ASTRAL DR,COL,BREAK AND ENTER
