REC_ID,REC_TYPE,MAINRECUSE,REC_NAME,PARK_ID,CIVIC_ADDRESS
468,6,GENERAL PLAYGROUND,NELSON WHYNDER ELEMENTARY SCHOOL PARK PLAYGROUND,5149,"979 NORTH PRESTON RD, NORTH PRESTON"
744,6,GENERAL PLAYGROUND,SMOKEY DRIVE ELEMENTARY SCHOOL PARK PLAYGROUND,5047,"241 SMOKEY DR, LOWER SACKVILLE"
745,6,GENERAL PLAYGROUND,ECOLE DU GRAND-PORTAGE PARK PLAYGROUND,5046,"100 STOKIL DR, LOWER SACKVILLE"
987,6,GENERAL PLAYGROUND,KINGSWOOD ELEMENTARY SCHOOL PARK PLAYGROUND,541,"34 VREGE CT, HAMMONDS PLAINS"
558,6,GENERAL PLAYGROUND,ST. CATHERINE'S ELEMENTARY SCHOOL PARK PLAYGROUND,342,"3299 CONNOLLY ST, HALIFAX"
565,6,GENERAL PLAYGROUND,SUN KEY DRIVE PARK PLAYGROUND,5153,"47 SAND KEY DR, EASTERN PASSAGE"
1502,6,GENERAL PLAYGROUND,CARMEL CRESCENT PARK PLAYGROUND,2459,"151 CARMEL CRES, HAMMONDS PLAINS"
575,6,GENERAL PLAYGROUND,IAN FORSYTH ELEMENTARY SCHOOL PARK PLAYGROUND,5056,"22 GLENCOE DR, DARTMOUTH"
875,6,GENERAL PLAYGROUND,LOWER PROSPECT ROAD PARK PLAYGROUND,3209,"2081 LOWER PROSPECT RD, LOWER PROSPECT"
1509,6,GENERAL PLAYGROUND,TANTALLON ELEMENTARY (JUNIOR) PARK PLAYGROUND,4008,"1 FRENCH VILLAGE STATION RD, UPPER TANTALLON"
529,6,GENERAL PLAYGROUND,HARRIETSFIELD ELEMENTARY SCHOOL PARK PLAYGROUND,4020,"1150 OLD SAMBRO RD, HARRIETSFIELD"
1510,6,GENERAL PLAYGROUND,HAMMONDS PLAINS CONSOLIDATED ELEMENTARY SCHOOL PLAYGROUND,4009,"2180 HAMMONDS PLAINS RD, HAMMONDS PLAINS"
675,6,GENERAL PLAYGROUND,ST. STEPHEN'S ELEMENTARY SCHOOL PARK PLAYGROUND,5062,"3669 HIGHLAND AVE, HALIFAX"
553,6,GENERAL PLAYGROUND,JOSEPH GILES ELEMENTARY SCHOOL PARK PLAYGROUND,5050,"54 GREGORY DR, DARTMOUTH"
496,6,GENERAL PLAYGROUND,ATLANTIC MEMORIAL ELEMENTARY SCHOOL PARK PLAYGROUND,3060,"3591 PROSPECT RD, SHAD BAY"
538,6,GENERAL PLAYGROUND,SHATFORD MEMORIAL ELEMENTARY SCHOOL PARK PLAYGROUND,5151,"10089 HWY 3, HUBBARDS"
