X,Y,OBJECTID,REC_ID,REC_TYPE,MAINRECUSE,REC_NAME,OFFICIAL,NAME_APP,NUM_COURTS,PARK_ID,RECPOLYID,ADDDATE,MODDATE,SDATE,SOURCE,SACC,SUPERVISED,ZONE,ROUTE,SCHOOL,FENCED,BENCHES,PARTNER,NOTES,CIVIC_ID,CIVIC_ADDRESS,CONDITDATE
-63.463670147572081,44.742862501729583,338820,468,6,GENERAL PLAYGROUND,NELSON WHYNDER ELEMENTARY SCHOOL PARK PLAYGROUND,,,,5149,RPLY1054,2007-11-06T00:00:00.000Z,2019-09-23T00:00:00.000Z,2007-11-06T00:00:00.000Z,Asset Management Project, ,,Playgrounds East,,,,,,,,"979 NORTH PRESTON RD, NORTH PRESTON",2019-08-02T00:00:00.000Z
-63.686784907826627,44.785377409861347,338821,744,6,GENERAL PLAYGROUND,SMOKEY DRIVE ELEMENTARY SCHOOL PARK PLAYGROUND,,,53,5047,RPLY989,2007-11-06T00:00:00.000Z,2019-12-13T00:00:00.000Z,2007-11-06T00:00:00.000Z,Asset Management Project, ,,Playgrounds Central,,,,,,,,"241 SMOKEY DR, LOWER SACKVILLE",2020-01-02T00:00:00.000Z
-63.682108562325134,44.783139371614766,338822,745,6,GENERAL PLAYGROUND,ECOLE DU GRAND-PORTAGE PARK PLAYGROUND,,,67,5046,RPLY983,2007-11-06T00:00:00.000Z,2019-09-23T00:00:00.000Z,2007-11-06T00:00:00.000Z,Asset Management Project, ,,Playgrounds Central,,,,,,,,"100 STOKIL DR, LOWER SACKVILLE",2020-01-02T00:00:00.000Z
-63.743207389237938,44.721234444083606,338823,987,6,GENERAL PLAYGROUND,KINGSWOOD ELEMENTARY SCHOOL PARK PLAYGROUND,,,33,541,RPLY1096,2008-03-19T00:00:00.000Z,2019-12-13T00:00:00.000Z,2008-03-19T00:00:00.000Z,Field Work Operations,,,Playgrounds Central,,,,,,,,"34 VREGE CT, HAMMONDS PLAINS",2020-01-30T00:00:00.000Z
-63.61454498162238,44.656762012577879,338824,558,6,GENERAL PLAYGROUND,ST. CATHERINE'S ELEMENTARY SCHOOL PARK PLAYGROUND,,,,342,RPLY1473,2007-11-06T00:00:00.000Z,2019-09-23T00:00:00.000Z,2007-11-06T00:00:00.000Z,Asset Management Project, ,,Playgrounds West,,,,,,,,"3299 CONNOLLY ST, HALIFAX",2019-04-16T00:00:00.000Z
-63.460278630082094,44.598998740149099,338825,565,6,GENERAL PLAYGROUND,SUN KEY DRIVE PARK PLAYGROUND,,,40,5153,RPLY949,2007-11-06T00:00:00.000Z,2019-12-13T00:00:00.000Z,2007-11-06T00:00:00.000Z,Field Work Civic,,,Playgrounds East,,,,,,,,"47 SAND KEY DR, EASTERN PASSAGE",2020-01-07T00:00:00.000Z
-63.842604062014217,44.724554215856614,338826,1502,6,GENERAL PLAYGROUND,CARMEL CRESCENT PARK PLAYGROUND,,,53,2459,RPLY1115,2009-05-26T00:00:00.000Z,2019-09-23T00:00:00.000Z,2009-05-26T00:00:00.000Z,Asset Management Project,,,Playgrounds Central,,,,,,,,"151 CARMEL CRES, HAMMONDS PLAINS",2020-01-15T00:00:00.000Z
-63.539050469923545,44.694257671461401,338827,575,6,GENERAL PLAYGROUND,IAN FORSYTH ELEMENTARY SCHOOL PARK PLAYGROUND,,,60,5056,RPLY745,2007-11-06T00:00:00.000Z,2019-12-13T00:00:00.000Z,2007-11-06T00:00:00.000Z,Asset Management Project, ,,Playgrounds East,,,,,,,,"22 GLENCOE DR, DARTMOUTH",2020-01-28T00:00:00.000Z
-63.726073779603112,44.455036795826885,338828,875,6,GENERAL PLAYGROUND,LOWER PROSPECT ROAD PARK PLAYGROUND,,,,3209,RPLY1442,2008-03-06T00:00:00.000Z,2019-09-23T00:00:00.000Z,2008-03-06T00:00:00.000Z,Field Work Operations,,,Playgrounds West,,,,,,,,"2081 LOWER PROSPECT RD, LOWER PROSPECT",2019-04-29T00:00:00.000Z
-63.8740456386425,44.69249867798893,338829,1509,6,GENERAL PLAYGROUND,TANTALLON ELEMENTARY (JUNIOR) PARK PLAYGROUND,,,53,4008,RPLY1273,2009-05-06T00:00:00.000Z,2019-12-13T00:00:00.000Z,2009-05-06T00:00:00.000Z,Asset Management Project,,,Playgrounds Central,,,,,,,,"1 FRENCH VILLAGE STATION RD, UPPER TANTALLON",2020-01-03T00:00:00.000Z
