PARK_ID,HECTARES,PARK_NAME,PARK_TYPE,,,,,,,,,,,
1,0.2,GRANVILLE MALL,PLAZA,,,,,,,,,,,
2,8.2,ALBRO LAKE PARK,District,,,,,,,,,,,
3,0.27,MARLBOROUGH WOODS PARK,Community,,,,,,,,,,,
4,0.95,HISTORIC PROPERTIES,Regional,,,,,,,,,,,
6,50.71,SIR SANDFORD FLEMING PARK,Regional,,,,,,,,,,,
7,0.68,SCOTT SAUNDERS MEMORIAL PARK,Community,,,,,,,,,,,
9,0.92,BRULE STREET PARK,Community,,,,,,,,,,,
10,1992.6,WESTERN COMMON,Regional,,,,,,,,,,,
11,0.34,CENTENNIAL PARK,Neighbourhood,,,,,,,,,,,
13,2.87,THE BIRCHES PARK,Community,,,,,,,,,,,
14,0.11,ROTARY PARK,Community,,,,,,,,,,,
15,0.79,EARLS ROAD PARK,Neighbourhood,,,,,,,,,,,
16,1.29,DAVIS DRIVE PARK,Community,,,,,,,,,,,
18,1.34,SCHOONER DRIVE PARK,Community,,,,,,,,,,,
20,2.72,UPPER FLINN PARK,Community,,,,,,,,,,,
22,24.5,ADMIRAL COVE PARK,Regional,,,,,,,,,,,
23,1.29,ALDER PIPER PARK,Neighbourhood,,,,,,,,,,,
26,1.64,REGATTA POINT PARK,Community,,,,,,,,,,,
28,0.56,ARNOLD WHITWORTH PARK,Neighbourhood,,,,,,,,,,,
29,0.4,BEAUFORT DRIVE PARK,Neighbourhood,,,,,,,,,,,
30,8.55,BEAZLEY PARK,District,,,,,,,,,,,
31,4.85,RANGE PARK,District,,,,,,,,,,,
32,11.25,BELL LAKE PARK,Community,,,,,,,,,,,
33,59.67,MAINLAND COMMON,Regional,,,,,,,,,,,
34,2.09,HARTLEN PARK,Community,,,,,,,,,,,
36,0.27,BELVEDERE PARK,Neighbourhood,,,,,,,,,,,
40,0.9,PINE BLUFF ISLAND PARK,Neighbourhood,,,,,,,,,,,
41,2.58,SULLIVAN'S POND PARK,Regional,,,,,,,,,,,
50,1.42,CHISHOLM AVENUE PARK,Community,,,,,,,,,,,
51,520.01,SANDY LAKE PARK,Regional,,,,,,,,,,,
55,0.83,LAKE BANOOK REGIONAL PARK,Regional,,,,,,,,,,,
62,0.19,ACORN ROAD PARK,Neighbourhood,,,,,,,,,,,
66,4.81,AFRICVILLE,Regional,,,,,,,,,,,
72,5.29,O'CONNELL DRIVE ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
73,2.99,CHRISTOPHER LANE PARK,Neighbourhood,,,,,,,,,,,
81,16.28,SETTLE LAKE PARK,Community,,,,,,,,,,,
83,1.26,SHEPPARDS RUN PARK,Neighbourhood,,,,,,,,,,,
85,0.19,SHAD BAY PARK,Community,,,,,,,,,,,
86,0.47,HUMBER PARK,Community,,,,,,,,,,,
87,1.97,MIDDLE PARK,Community,,,,,,,,,,,
88,27.6,BISSETT LAKE PARK,District,,,,,,,,,,,
89,0.38,ATHOLEA DRIVE PARK,Neighbourhood,,,,,,,,,,,
90,0.26,COW BAY LAKE PARK,Community,,,,,,,,,,,
91,1.87,SHORE ROAD LANDS,Community,,,,,,,,,,,
93,0.21,SHORE ROAD POND LANDS,Community,,,,,,,,,,,
100,1.76,AUBURN JOHN STEWART PARK,Community,,,,,,,,,,,
103,0.39,POPLAR DRIVE PARK,,,,,,,,,,,,
104,23.72,COLE HARBOUR COMMON,Regional,,,,,,,,,,,
106,1.05,COLLINS GROVE PARK,,,,,,,,,,,,
107,1.39,ROBERT DRIVE PARK,Community,,,,,,,,,,,
108,1.53,MORASH PARK,Community,,,,,,,,,,,
109,4.84,OATHILL LAKE PARK,Community,,,,,,,,,,,
112,0.7,MITCHELLS BROOK PARK,Community,,,,,,,,,,,
116,1.11,HENRY FINDLAY PARK,Regional,,,,,,,,,,,
117,1.61,BROOKDALE CRESCENT PARK,Community,,,,,,,,,,,
119,1.77,NORTHBROOK PARK,Community,,,,,,,,,,,
120,0.3,SINNOT HILL PARK,Community,,,,,,,,,,,
122,0.33,SUMMIT HEIGHTS PARK,Neighbourhood,,,,,,,,,,,
123,0.28,GREEN VILLAGE LANE PARK,Neighbourhood,,,,,,,,,,,
124,0.1,LINDEN LEA FROG POND PARK,Neighbourhood,,,,,,,,,,,
127,0.29,ABERDEEN COURT PARK,Neighbourhood,,,,,,,,,,,
129,1.57,SOUTHDALE NORTH WOODSIDE ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
131,3.31,WOODSIDE AREA PARK,Regional,,,,,,,,,,,
133,163.8,SHUBIE PARK,Regional,,,,,,,,,,,
134,4.89,OAKFIELD WOODS PARK,Community,,,,,,,,,,,
135,19.3,RUSSELL LAKE PARK,Community,,,,,,,,,,,
137,1.54,LAKECREST DRIVE PARK ,Community,,,,,,,,,,,
139,2.77,JASON MACCULLOUGH MEMORIAL PARK,Community,,,,,,,,,,,
140,0.41,CLEMENT STREET PARK,Neighbourhood,,,,,,,,,,,
143,0.34,GREELY COURT PARK,Neighbourhood,,,,,,,,,,,
150,3.77,PENHORN LAKE PARK,Community,,,,,,,,,,,
151,28.5,MILLWOOD COMMON PARK,District,,,,,,,,,,,
152,2.75,MEADOWBROOK PARK,Community,,,,,,,,,,,
153,0.67,MARJORIE DRIVE PARK,Neighbourhood,,,,,,,,,,,
154,1.69,EDWARD DRILLIO PARK,Community,,,,,,,,,,,
155,14.78,MCINTOSH RUN DISTRICT PARK,District,,,,,,,,,,,
156,0.19,LYNNETT ROAD PARK,Neighbourhood,,,,,,,,,,,
157,0.29,LOCKS ROAD PARK,Neighbourhood,,,,,,,,,,,
158,1.33,LANDRACE CRESCENT PARK,Community,,,,,,,,,,,
159,0.98,WADLOW PARK,Community,,,,,,,,,,,
160,0.96,KEARNEY LAKE BEACH PARK,District,,,,,,,,,,,
161,0.84,JOLLIMORE PARK,Community,,,,,,,,,,,
162,0.08,RAYMOND TAAVEL PARK,Neighbourhood,,,,,,,,,,,
164,0.76,HORSESHOE ISLAND PARK,District,,,,,,,,,,,
165,0.09,HIGH STREET PARK,Neighbourhood,,,,,,,,,,,
166,93.8,HEMLOCK RAVINE PARK,Regional,,,,,,,,,,,
167,1.36,WESTWIND RIDGE PARK,Neighbourhood,,,,,,,,,,,
168,16.39,GRAVES-OAKLEY MEMORIAL PARK,District,,,,,,,,,,,
169,0.73,GRAND PARADE,PLAZA,,,,,,,,,,,
170,0.07,FULLER TERRACE PARK,Neighbourhood,,,,,,,,,,,
171,6.29,FORT NEEDHAM MEMORIAL PARK,Regional,,,,,,,,,,,
172,3.14,DALE BENNETT MEMORIAL PARK,Community,,,,,,,,,,,
173,8.56,MAYBANK PARK,District,,,,,,,,,,,
175,0.31,CHALAMONT DRIVE PARK,Neighbourhood,,,,,,,,,,,
176,0.21,CEDAR CRESCENT PARK,Neighbourhood,,,,,,,,,,,
177,1.76,CAPILANO COMMON PARK,Community,,,,,,,,,,,
178,1.47,BUCKINGHAM COMMON PARK,Community,,,,,,,,,,,
179,2.5,BROWNLOW PARK,District,,,,,,,,,,,
180,0.39,BROMPTON ROAD PARK,Neighbourhood,,,,,,,,,,,
202,0.11,BARENG COURT PARK,Neighbourhood,,,,,,,,,,,
208,6.83,BROOKSIDE JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
211,4.29,BEAVER BANK MONARCH ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
214,1.48,WOODLAWN PARK,Community,,,,,,,,,,,
215,2.01,WINLEY ESTATES PARK,Neighbourhood,,,,,,,,,,,
217,0.69,SUNSET ACRES PARK,Community,,,,,,,,,,,
218,1.04,SPRINGFIELD LAKE ROAD PARK,Community,,,,,,,,,,,
219,1.91,SILVER'S HILL PARK,Community,,,,,,,,,,,
220,2.39,PO2 CRAIG BLAKE MEMORIAL PARK,District,,,,,,,,,,,
260,0.45,OAKMOUNT HOUSE PARK,Neighbourhood,,,,,,,,,,,
272,2.49,EASTERN CONSOLIDATED ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
283,2.51,GEORGES P. VANIER JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
287,4.25,HALIFAX WEST HIGH SCHOOL PARK,Regional,,,,,,,,,,,
304,1.92,JOHN MACNEIL ELEMENTARY SCHOOL PARK,District,,,,,,,,,,,
329,4.4,SACKVILLE HEIGHTS JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
332,2.13,SAMUEL R. BALCOM COMMUNITY CENTRE PARK,Community,,,,,,,,,,,
339,0.05,SOUTH WOODSIDE ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
342,1.82,ST. CATHERINE'S ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
344,7.64,GORSEBROOK PARK,District,,,,,,,,,,,
359,1.95,STANLEY PARK,Community,,,,,,,,,,,
360,76.28,POINT PLEASANT PARK,Regional,,,,,,,,,,,
362,3.91,WANDERERS GROUNDS,District,,,,,,,,,,,
363,6.44,PUBLIC GARDENS,Regional,,,,,,,,,,,
367,2.45,NINE MILE DRIVE COMMUNITY PARK,Community,,,,,,,,,,,
379,11.6,DARTMOUTH COMMON,Regional,,,,,,,,,,,
387,2.52,BEECH HILL ROAD PARK,Community,,,,,,,,,,,
388,0.37,DEVONPORT AVENUE PARK,Neighbourhood,,,,,,,,,,,
389,0.5,SALUKI DRIVE PARK,Neighbourhood,,,,,,,,,,,
390,0.69,OLEARY DRIVE PARK,Neighbourhood,,,,,,,,,,,
393,0.37,KELTIC GARDENS PARK,Community,,,,,,,,,,,
395,0.27,NICKIE PARK,Neighbourhood,,,,,,,,,,,
396,0.1,HOLLYOAKE LANE PARK,Neighbourhood,,,,,,,,,,,
398,0.05,MONTAGUE ESTATES PARK,Neighbourhood,,,,,,,,,,,
400,0.12,WATER STREET PARKETTE,Neighbourhood,,,,,,,,,,,
401,11.77,HALIFAX NORTH COMMON,Regional,,,,,,,,,,,
402,0.2,NATHAN GREEN SQUARE,PLAZA,,,,,,,,,,,
403,0.15,CHEBUCTO LANDING,PLAZA,,,,,,,,,,,
404,0.4,SACKVILLE LANDING,PLAZA,,,,,,,,,,,
405,0.03,CHEBUCTO CONNAUGHT PARKETTE,Community,,,,,,,,,,,
409,0.12,GREEN ACRES PARK,Neighbourhood,,,,,,,,,,,
410,1.23,SEAWOOD AVENUE PARK,Neighbourhood,,,,,,,,,,,
411,0.16,FENERTY LANDING,Neighbourhood,,,,,,,,,,,
412,0.28,RUTLEDGE STREET PARK,Neighbourhood,,,,,,,,,,,
413,6.52,WATERSTONE RUN PARK,Community,,,,,,,,,,,
414,0.29,GUY & IRENE TUCKER PARK,Neighbourhood,,,,,,,,,,,
415,0.88,LONG LAKE DRIVE PARK,Neighbourhood,,,,,,,,,,,
416,3.02,EISENHAUER PARK,Community,,,,,,,,,,,
417,1.13,TANTALLON WOODS PARK,Community,,,,,,,,,,,
423,2.84,UPPER MUSQUODOBOIT PARK,Community,,,,,,,,,,,
425,2.29,CARROLLS CORNER COMMUNITY CENTRE PARK,Community,,,,,,,,,,,
426,2.82,SHEET HARBOUR LIONS RECREATION CENTRE PARK,District,,,,,,,,,,,
429,0.63,MEAGHERS GRANT PARK,Community,,,,,,,,,,,
431,3.75,BEAVER BANK KINSAC PARK,District,,,,,,,,,,,
433,2.33,BEECHVILLE LAKESIDE TIMBERLEA RECREATION PARK,District,,,,,,,,,,,
435,6.54,CAPTAIN WILLIAM SPRY CENTRE,District,,,,,,,,,,,
436,1.22,CHOCOLATE LAKE COMMUNITY CENTRE PARK,Community,,,,,,,,,,,
440,4.66,EAST PRESTON PARK,District,,,,,,,,,,,
441,4.22,PEACE PARK,Community,,,,,,,,,,,
442,0.57,FALL RIVER RECREATION CENTRE PARK,Community,,,,,,,,,,,
443,1.43,FINDLAY COMMUNITY CENTRE PARK,Community,,,,,,,,,,,
444,1.84,GEORGE DIXON CENTRE PARK,District,,,,,,,,,,,
451,2.78,DR. GERALD J. LEBRUN MEMORIAL CENTRE PARK,District,,,,,,,,,,,
455,1.05,HARRIETSFIELD COMMUNITY CENTRE PARK,Community,,,,,,,,,,,
456,14.08,HUBBARDS RECREATION CENTRE PARK,District,,,,,,,,,,,
457,2.35,LAKE ECHO COMMUNITY CENTRE PARK,District,,,,,,,,,,,
458,1.36,LAWRENCETOWN COMMUNITY CENTRE PARK,Community,,,,,,,,,,,
462,1.74,NORTH PRESTON COMMUNITY CENTRE PARK,Community,,,,,,,,,,,
463,2.65,NORTH WOODSIDE COMMUNITY CENTRE PARK,Community,,,,,,,,,,,
464,2.47,NORTHCLIFFE RECREATION CENTRE PARK,District,,,,,,,,,,,
465,1.03,PORTERS LAKE COMMUNITY CENTRE PARK,Community,,,,,,,,,,,
468,3.58,SACKVILLE SPORTS STADIUM PARK,District,,,,,,,,,,,
