Year,Board Code,School Code,School Name,Telephone,Email,Mail Address Line 1
2018,51,96,BADDECK ACADEMY,9022952359,BARBMAC@GNSPES.CA,PO BOX 310
2018,51,93,BOULARDERIE ELEMENTARY SCHOOL,9026742716,LAVERYB1@GNSPES.CA,12065 KEMPT RD
2018,51,101,BRAS D'OR ELEMENTARY SCHOOL,9027364000,KUBLEKS@GNSPES.CA,10 ALDER PT. RD
2018,51,640,BRETON EDUCATION CENTRE,9028626432,DAUCOIN@GNSPES.CA,667 EIGHTH ST
2018,51,995,BROOKLAND ELEMENTARY SCHOOL,9025620768,JLIVELY@GNSPES.CA,153 COTTAGE RD
2018,51,107,CABOT EDUCATION CENTRE,9023362266,SIMMSDJ@GNSPES.CA,32039 CABOT TRAIL
2018,51,962,CAPE SMOKEY ELEMENTARY SCHOOL,9022852638,HARDYM2@GNSPES.CA,PO BOX 269
2018,51,1169,CBVRCE ADULT HIGH SCHOOL,9025625178,HPATTERS@GNSPES.CA,290 WHITNEY AVE
2018,51,186,COXHEATH ELEMENTARY SCHOOL,9025624961,TLEBLAN1@GNSPES.CA,30 MT. FLORENCE ST
2018,51,1101,CUSACK SCHOOL,9025640431,ORYCHOA1@GNSPES.CA,500 BIRCH HILL DR
2018,51,996,DONKIN SCHOOL,9027372120,JACKSONBM@GNSPES.CA,81 CENTRE AVE
2018,51,98,DR. T.L. SULLIVAN MIDDLE SCHOOL,9027366273,YORKEC1@GNSPES.CA,256 PARK RD
2018,51,1153,FERRISVIEW ELEMENTARY SCHOOL,9027947137,BOUTJ@GNSPES.CA,83 ARCHIBALD AVE
2018,51,416,GLACE BAY ELEMENTARY SCHOOL,9028493256,SHEPARDR@GNSPES.CA,135 BROOKSIDE ST
2018,51,8,GLACE BAY HIGH SCHOOL,9028494247,GBH@GNSPES.CA,201 RESERVE ST
2018,51,963,GREENFIELD ELEMENTARY SCHOOL,9028624000,MACDOUS13@GNSPES.CA,25 JAMES ST
2018,51,964,HARBOURSIDE ELEMENTARY SCHOOL,9025634520,DBEATON@GNSPES.CA,15 CHURCH ST
2018,51,549,JOHN BERNARD CROAK V.C. MEMORIAL SCHOOL,9028492003,RMULLER@GNSPES.CA,10 SECOND ST
2018,51,960,JUBILEE ELEMENTARY SCHOOL,9027363310,JACKH@GNSPES.CA,755 MAIN ST
2018,51,202,MALCOLM MUNROE MEMORIAL MIDDLE SCHOOL,9025644587,SMCAMPBELL@GNSPES.CA,125 KENWOOD DR
