rec_key,Year,School Code,School Total
1,2007,96,350
2,2007,93,120
3,2007,101,316
4,2007,640,934
5,2007,551,132
6,2007,995,525
7,2007,107,243
8,2007,962,126
9,2007,186,303
10,2007,1101,412
11,2007,996,190
12,2007,98,293
13,2007,99,151
14,2007,626,137
15,2007,442,47
16,2007,416,496
17,2007,8,882
18,2007,964,476
19,2007,668,305
20,2007,549,182
21,2007,960,291
22,2007,545,135
23,2007,206,181
24,2007,202,653
25,2007,183,88
26,2007,82,1030
27,2007,83,22
28,2007,180,176
29,2007,552,307
30,2007,643,186
31,2007,997,319
32,2007,444,24
33,2007,963,360
34,2007,961,116
35,2007,929,21
36,2007,95,132
37,2007,973,192
38,2007,203,1015
39,2007,182,181
40,2007,113,275
41,2007,646,520
42,2007,972,233
43,2007,644,163
44,2007,561,359
45,2007,119,276
46,2007,984,280
47,2007,553,495
48,2007,688,789
49,2007,443,43
50,2007,117,341
51,2007,185,332
52,2007,110,233
53,2007,175,177
54,2007,667,503
55,2007,934,562
56,2007,932,423
57,2007,510,77
58,2007,974,481
59,2007,986,400
60,2007,930,310
61,2007,707,1016
62,2007,975,556
63,2007,484,352
64,2007,266,152
65,2007,471,165
66,2007,143,90
67,2007,1106,348
68,2007,631,117
69,2007,390,12
70,2007,146,83
71,2007,931,477
72,2007,152,642
73,2007,149,213
74,2007,491,188
75,2007,25,208
76,2007,655,418
77,2007,936,626
78,2007,976,138
79,2007,388,191
80,2007,639,437
81,2007,634,147
82,2007,248,60
83,2007,49,98
84,2007,705,767
85,2007,6,176
86,2007,2,128
87,2007,7,453
88,2007,16,170
89,2007,20,474
90,2007,27,214
91,2007,269,30
92,2007,978,34
93,2007,919,63
94,2007,920,49
95,2007,14,219
96,2007,36,91
97,2007,44,1615
98,2007,1104,307
99,2007,230,137
100,2007,28,159
101,2007,47,241
102,2007,408,249
103,2007,750,346
104,2007,432,248
105,2007,17,186
106,2007,31,400
107,2007,30,309
108,2007,414,420
109,2007,665,329
110,2007,26,61
111,2007,42,842
112,2007,41,341
113,2007,1100,282
114,2007,15,124
115,2007,661,179
116,2007,38,71
117,2007,35,47
118,2007,949,301
119,2007,633,357
120,2007,5,224
121,2007,988,896
122,2007,9,280
123,2007,231,69
124,2007,989,1117
125,2007,648,174
126,2007,714,276
127,2007,649,221
128,2007,715,255
129,2007,650,330
130,2007,971,264
131,2007,50,76
132,2007,252,320
133,2007,39,122
134,2007,916,555
135,2007,240,123
136,2007,251,119
137,2007,435,85
138,2007,923,640
139,2007,11,216
140,2007,441,80
141,2007,4,106
142,2007,34,210
143,2007,992,843
144,2007,1105,509
145,2007,658,389
146,2007,51,114
147,2007,43,88
148,2007,1,204
149,2007,636,127
150,2007,428,282
151,2007,692,192
152,2007,690,228
153,2007,45,545
154,2007,40,432
155,2007,18,66
156,2007,12,222
157,2007,227,101
158,2007,3,463
159,2007,229,38
160,2007,29,184
161,2007,662,165
162,2007,503,235
163,2007,407,440
164,2007,48,126
165,2007,228,386
166,2007,512,161
167,2007,513,113
168,2007,317,600
169,2007,739,497
170,2007,749,628
171,2007,425,274
172,2007,326,160
173,2007,97,1149
174,2007,104,325
175,2007,752,344
176,2007,304,245
177,2007,268,279
178,2007,298,405
179,2007,937,564
180,2007,291,774
181,2007,514,221
182,2007,322,341
183,2007,515,398
184,2007,519,292
185,2007,286,431
186,2007,595,328
187,2007,319,338
188,2007,516,388
189,2007,312,249
190,2007,743,420
191,2007,611,225
192,2007,358,1086
193,2007,596,321
194,2007,600,296
195,2007,352,245
196,2007,357,1136
197,2007,339,204
198,2007,517,234
199,2007,605,245
200,2007,518,1090
201,2007,601,345
202,2007,328,246
203,2007,343,110
204,2007,283,75
205,2007,329,34
206,2007,351,543
207,2007,334,576
208,2007,614,322
209,2007,538,405
210,2007,564,261
211,2007,599,282
212,2007,578,440
213,2007,288,492
214,2007,356,565
215,2007,731,193
216,2007,314,438
217,2007,350,294
218,2007,568,244
219,2007,318,466
220,2007,602,367
221,2007,567,237
222,2007,592,1563
223,2007,306,511
224,2007,521,255
225,2007,335,28
226,2007,740,172
227,2007,296,183
228,2007,313,514
229,2007,522,191
230,2007,293,293
231,2007,571,178
232,2007,310,246
233,2007,747,330
234,2007,327,255
235,2007,523,338
236,2007,579,192
237,2007,619,903
238,2007,539,221
239,2007,524,220
240,2007,607,340
241,2007,354,296
242,2007,569,114
243,2007,1103,588
244,2007,330,43
245,2007,338,379
246,2007,587,301
247,2007,353,345
248,2007,968,1273
249,2007,939,557
250,2007,526,284
251,2007,748,473
252,2007,745,636
253,2007,527,203
254,2007,342,419
255,2007,348,171
256,2007,324,115
257,2007,56,321
258,2007,131,364
259,2007,315,146
260,2007,572,372
261,2007,970,672
262,2007,969,419
263,2007,533,1210
264,2007,532,471
265,2007,282,253
266,2007,573,911
267,2007,938,560
268,2007,340,337
269,2007,359,182
270,2007,603,327
271,2007,609,274
272,2007,321,439
273,2007,309,104
274,2007,311,290
275,2007,303,645
276,2007,297,991
277,2007,581,132
278,2007,295,110
279,2007,941,364
280,2007,534,491
281,2007,287,71
282,2007,332,154
283,2007,589,269
284,2007,277,943
285,2007,320,316
286,2007,355,274
287,2007,535,144
288,2007,540,362
289,2007,593,222
290,2007,575,274
291,2007,577,314
292,2007,580,220
293,2007,940,413
294,2007,582,370
295,2007,583,126
296,2007,586,234
297,2007,299,547
298,2007,307,260
299,2007,85,443
300,2007,284,597
301,2007,349,64
302,2007,316,199
303,2007,591,309
304,2007,294,316
305,2007,63,360
306,2007,746,570
307,2007,706,227
308,2007,133,300
309,2007,993,917
310,2007,75,448
311,2007,507,238
312,2007,708,443
313,2007,363,354
314,2007,58,224
315,2007,67,836
316,2007,965,203
317,2007,141,138
318,2007,732,583
319,2007,366,133
320,2007,65,216
321,2007,753,376
322,2007,362,263
323,2007,60,186
324,2007,59,291
325,2007,24,230
326,2007,998,19
327,2007,70,1000
328,2007,76,534
329,2007,379,38
330,2007,62,503
331,2007,61,173
332,2007,129,183
333,2007,1108,18
334,2007,712,687
335,2007,73,354
336,2007,364,106
337,2007,967,1106
338,2007,966,497
339,2007,72,233
340,2007,55,200
341,2007,54,220
342,2007,360,154
343,2007,1110,10
344,2007,994,626
345,2007,71,801
346,2007,376,32
347,2007,699,243
348,2007,361,147
349,2007,81,516
350,2007,387,202
351,2007,145,188
352,2007,433,118
353,2007,947,502
354,2007,982,238
355,2007,744,106
356,2007,948,486
357,2007,434,91
358,2007,68,399
359,2007,218,104
360,2007,217,177
361,2007,378,218
362,2007,156,175
363,2007,57,176
364,2007,221,46
365,2007,225,258
366,2007,980,378
367,2007,219,147
368,2007,160,115
369,2007,925,150
370,2007,926,462
371,2007,405,4
372,2007,509,483
373,2007,508,453
374,2007,399,489
375,2007,216,380
376,2007,207,218
377,2007,386,432
378,2007,80,419
379,2007,210,132
380,2007,1102,9
381,2007,458,36
382,2007,917,675
383,2007,710,358
384,2007,628,117
385,2007,979,41
386,2007,627,170
387,2007,465,44
388,2007,463,163
389,2007,397,245
390,2007,402,443
391,2007,214,176
392,2007,404,145
393,2007,459,151
394,2007,460,114
395,2007,409,867
396,2007,400,102
397,2007,401,76
398,2007,439,33
399,2007,392,63
400,2007,53,308
401,2007,380,16
402,2007,1107,8
403,2007,394,178
404,2007,500,243
405,2007,167,731
406,2007,255,79
407,2007,166,95
408,2007,497,131
409,2007,511,128
410,2007,272,31
411,2007,541,402
412,2007,257,47
413,2007,709,537
414,2007,981,452
415,2007,733,181
416,2007,927,227
417,2007,79,315
418,2007,259,147
419,2007,624,120
420,2007,711,174
421,2007,410,444
422,2007,928,526
423,2007,199,229
424,2007,498,176
425,2007,716,413
426,2007,703,178
427,2007,977,342
428,2007,258,16
429,2007,256,243
430,2007,385,58
431,2007,704,272
432,2007,700,725
433,2007,701,271
434,2008,96,338
435,2008,93,127
436,2008,101,306
437,2008,640,825
438,2008,551,123
439,2008,995,465
440,2008,107,235
