X,Y,OBJECTID,ACCPRKID,STREET_NAME,FROM_STR,TO_STR,NUMSPOTS,DURATION,QUALIFIER,STATUS,COMMENTS,DIRECTION,ADJSURFMAT,OBSTRUCT,LOC_HILL,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.58615283,44.67238863,10951,AP52,HESTER ST,JAMIESON ST,HENRY ST,1,No Time Restriction,,In Service,,Southeast,Concrete,No,Yes,2019-10-16T14:59:49.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57498079,44.64758319,10952,AP74,ARGYLE ST,CARMICHAEL ST,PRINCE ST,2,3 Hour,,In Service,,South,Concrete,Yes,No,2019-10-16T17:44:53.000Z,2020-01-27T14:18:11.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.5842925,44.64996016,10953,AP81,BAUER ST,COGSWELL ST,FALKLAND ST,1,No Time Restriction,,In Service,,Northeast,Both Concrete and Grass,No,No,2019-10-16T18:15:12.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57221883,44.64373027,10954,AP79,BARRINGTON ST,BISHOP ST,SPRING GARDEN RD,3,,Sunday Only,In Service,,North,Concrete,Yes,No,2019-10-16T18:04:30.000Z,2020-01-27T15:28:20.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56735017,44.66801135,10955,AP50,DUNDAS ST,OCHTERLONEY ST,NORTH ST,2,No Time Restriction,Sunday Only,In Service,,West,Concrete,No,Yes,2019-10-16T14:30:32.000Z,2020-01-27T14:16:54.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.55894015,44.66933967,10956,AP48,HAWTHORNE ST,PORTLAND ST,ERSKINE ST,2,No Time Restriction,,In Service,,North,Concrete,No,No,2019-10-16T14:08:13.000Z,2020-01-27T14:15:57.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57453589,44.64650918,10957,AP76,ARGYLE ST,PRINCE ST,SACKVILLE ST,1,3 Hour,,In Service,,South,Concrete,No,No,2019-10-16T17:44:53.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.54255517,44.6662893,10958,AP69,REGENCY DR,GASTON RD,END,2,No Time Restriction,,In Service,,Southeast,Grass,Yes,No,2019-10-16T16:32:01.000Z,2020-01-27T14:17:47.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.5685892,44.66514284,10959,AP56,QUEEN ST,ALDERNEY DR,EDWARD ST,1,2 Hour,,In Service,,Northeast,Concrete,No,Yes,2019-10-16T16:20:24.000Z,2019-11-13T13:35:42.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57564309,44.66906758,10960,AP51,WYSE RD,THISTLE ST,NANTUCKET AVE,1,No Time Restriction,,In Service,,Northwest,Concrete,No,No,2019-10-16T14:36:25.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56620714,44.66605376,10961,AP60,PORTLAND ST,KING ST,WENTWORTH ST,2,3 Hour,,In Service,,Southwest,Concrete,No,No,2019-10-16T16:20:24.000Z,2020-01-27T14:17:13.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.58835366,44.67299076,10962,AP70,ELMWOOD AVE,WINDMILL RD,HESTER ST,1,No Time Restriction,,In Service,,Northeast,Concrete,Yes,No,2019-10-16T16:57:41.000Z,2019-11-11T23:57:38.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56696554,44.66666006,10963,AP58,QUEEN ST,KING ST,WENTWORTH ST,1,No Time Restriction,,In Service,,Southwest,Concrete,No,Yes,2019-10-16T16:20:24.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57236776,44.64821991,10964,AP82,BEDFORD ROW,PRINCE ST,GEORGE ST,2,2 Hour,,In Service,,North,Concrete,No,No,2019-10-16T18:23:35.000Z,2020-01-27T14:19:44.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57442462,44.64805734,10965,AP77,BARRINGTON ST,PRINCE ST,GEORGE ST,2,3 Hour,,In Service,,North,Concrete,No,No,2019-10-16T17:57:47.000Z,2020-01-27T14:18:27.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56487778,44.66654749,10966,AP53,DUNDAS ST,GREEN ST,PORTLAND ST,1,No Time Restriction,,In Service,,Southeast,Concrete,No,Yes,2019-10-16T16:07:55.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57279058,44.644871,10967,AP80,BARRINGTON ST,SALTER ST,BLOWERS ST,1,2 Hour,,In Service,,North,Concrete,No,No,2019-10-16T18:04:30.000Z,2019-11-13T13:35:42.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.54327057,44.6666796,10968,AP68,GASTON RD,PORTLAND ST,REGENCY DR,2,,Saturday & Sunday Only,Pending,,,Concrete,Yes,No,2019-10-16T16:32:01.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.60909062,44.64864092,10969,AP17,BERLIN ST,CONNAUGHT AVE,SWAINE ST,1,No Time Restriction,,In Service,,Northeast,Concrete,No,Yes,2019-10-08T16:29:40.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59647666,44.65146952,10970,AP15,CHARLES ST,WINDSOR ST,GLADSTONE ST,2,No Time Restriction,,In Service,,Southwest,Grass,Yes,No,2019-10-08T16:07:34.000Z,2020-01-27T13:35:32.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.60590012,44.65141507,10971,AP18,OXFORD ST,ALMON ST,BERLIN ST,2,,8am-6pm Mon-Fri,In Service,,Southeast,Grass,Yes,No,2019-10-08T16:33:19.000Z,2020-01-27T13:42:47.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.60059652,44.65286391,10972,AP16,SUMMIT ST,WINDSOR ST,DUBLIN ST,2,No Time Restriction,,In Service,,Southwest,Grass,No,No,2019-10-08T16:24:37.000Z,2020-01-27T13:38:13.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57497094,44.63628849,10973,AP127,VICTORIA RD,LUCKNOW ST,QUEEN ST,1,No Time Restriction,,In Service,,East,Grass,No,No,2019-10-18T13:58:21.000Z,2019-11-11T23:57:38.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
