OBJECTID,PARK_ID,OWNER,HRMINTRST,HECTARES,NAMESTATUS,NAMEAPRDTE,PARK_MAINT,GROUP_ID,ADDDATE,MODDATE,SDATE,SOURCE,SACC,GLOBALID,PARK_NAME,PARK_TYPE,DEVELOPED,CIVIC_ID,Shape__Area,Shape__Length
1,2751,Halifax,Yes,2.02,N,,HRM,2751,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-05-12T00:00:00.000Z,Asset Management Project,,96d26016-9b59-4577-81e7-7a03ce0826e4,KINGSWOOD DRIVE PARK,Neighbourhood,Yes,3917,39945.26172,982.7705342
2,32,Halifax,Yes,11.25,N,,Shared,32,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2008-12-15T00:00:00.000Z,Asset Management Project,,19c4c2b8-9fb4-4456-b530-395493e07b80,BELL LAKE PARK,Community,Yes,57095,222518.9141,6423.120184
3,1302,Halifax,Yes,2.41,N,,HRM,1302,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-10-24T00:00:00.000Z,Asset Management Project,,51b1824d-9365-4731-a5ee-d252c266766e,DUTCH SETTLEMENT PARK,Community,Yes,146509,48223.87109,955.7096921
4,5100,Halifax,Yes,10.37,N,,HRM,5058,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2007-11-06T13:52:45.000Z,Parkland Planners,,61a9c44c-5a98-4aa4-a2e3-bf510562b45e,SMELT BROOK PARK,Community,Yes,84403,204701.3867,3077.865515
5,5101,Halifax,Yes,0.09,C,,HRM,5060,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-07-09T00:00:00.000Z,Council Action,,b02cc0dd-4710-47fc-ba6b-2602623c63e9,MARY BETH BENEDICT MEMORIAL PARK,Community,Yes,145019,1739.09375,203.5794058
6,959,Halifax,Yes,4.61,N,,HRM,959,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-03-04T00:00:00.000Z,Asset Management Project,,1ca798a6-f444-4a16-875d-62c03327bc96,BIRCH COVE PARK,Community,Yes,127124,91203.9375,1559.725848
7,980,Halifax,Yes,0.02,N,,,980,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,,,,de50eaa6-eab2-4880-ade4-cc50504a7724,OAK STREET PARK,Neighbourhood,Yes,56117,322.484375,75.93113556
8,1061,Halifax,Yes,0.12,N,,HRM,1061,2019-02-08T21:05:13.000Z,2019-04-04T13:31:41.000Z,2008-10-09T00:00:00.000Z,Asset Management Project,,41a82364-91c6-49bd-8114-4dce0f4cf236,UNNAMED PARK 14,Neighbourhood,No,,2441.359375,196.199365
9,1112,Halifax,Yes,6.41,N,,HRM,1112,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-10-24T00:00:00.000Z,Asset Management Project,,b2f5efbb-117f-41f8-9266-71c59de7a668,BILLY BOLLONG MEMORIAL PARK,Community,Yes,94922,127408.2734,2099.319642
10,1141,Halifax,Yes,1.48,N,,HRM,1141,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-10-24T00:00:00.000Z,Asset Management Project,,f3e73c49-473e-4a96-a788-b8929f1ddc8e,PLEASANT VALLEY PARK,Community,Yes,88616,29658.42578,709.8298728
