Year,Board Code,Board Name,School Code,School Name,Mail Address Line 1,Mail Address Line 2,Mailing Postal Code,Civic Address Line 1,Civic Address Line 2,Civic Postal Code,Telephone,Fax,Email
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,96,BADDECK ACADEMY,PO BOX 310,BADDECK NS,B0E 1B0,320 SHORE RD,BADDECK NS,B0E 1B0,9022952359,9022951263,BARBMAC@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,93,BOULARDERIE ELEMENTARY SCHOOL,12065 KEMPT RD,BOULARDERIE NS,B1X 1J9,,,,9026742716,9026740117,LAVERYB1@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,101,BRAS D'OR ELEMENTARY SCHOOL,10 ALDER PT. RD,BRAS D'OR NS,B1Y 2K1,,,,9027364000,9027361091,KUBLEKS@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,640,BRETON EDUCATION CENTRE,667 EIGHTH ST,NEW WATERFORD NS,B1H 3T4,,,,9028626432,9028627330,DAUCOIN@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,995,BROOKLAND ELEMENTARY SCHOOL,153 COTTAGE RD,SYDNEY NS,B1P 2E5,,,,9025620768,9025634560,JLIVELY@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,107,CABOT EDUCATION CENTRE,32039 CABOT TRAIL,NEIL'S HARBOUR NS,B0C 1N0,,,,9023362266,9023362525,SIMMSDJ@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,962,CAPE SMOKEY ELEMENTARY SCHOOL,PO BOX 269,INGONISH NS,B0C 1K0,39 BRANDON LANE,INGONISH NS,B0C 1K0,9022852638,9022852892,HARDYM2@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,1169,CBVRCE ADULT HIGH SCHOOL,290 WHITNEY AVE,SYDNEY NS,B1P 5A6,,,,9025625178,9025621605,HPATTERS@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,186,COXHEATH ELEMENTARY SCHOOL,30 MT. FLORENCE ST,COXHEATH NS,B1R 1T8,,,,9025624961,9025626192,TLEBLAN1@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,1101,CUSACK SCHOOL,500 BIRCH HILL DR,SYDNEY NS,B1P 3V9,,,,9025640431,9025626871,ORYCHOA1@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,996,DONKIN SCHOOL,81 CENTRE AVE,DONKIN NS,B0A 1G0,,,,9027372120,9027371018,JACKSONBM@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,98,DR. T.L. SULLIVAN MIDDLE SCHOOL,256 PARK RD,FLORENCE NS,B1Y 1N2,,,,9027366273,9027368844,YORKEC1@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,1153,FERRISVIEW ELEMENTARY SCHOOL,83 ARCHIBALD AVE,NORTH SYDNEY NS,B2A 2W9,,,,9027947137,9027946237,BOUTJ@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,416,GLACE BAY ELEMENTARY SCHOOL,135 BROOKSIDE ST,GLACE BAY NS,B1A 1K8,,,,9028493256,9028493261,SHEPARDR@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,8,GLACE BAY HIGH SCHOOL,201 RESERVE ST,GLACE BAY NS,B1A 4W3,,,,9028494247,9028492700,GBH@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,963,GREENFIELD ELEMENTARY SCHOOL,25 JAMES ST,RIVER RYAN NS,B1H 1B8,,,,9028624000,9028624005,MACDOUS13@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,964,HARBOURSIDE ELEMENTARY SCHOOL,15 CHURCH ST,SYDNEY NS,B1N 2R3,,,,9025634520,9025634523,DBEATON@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,549,JOHN BERNARD CROAK V.C. MEMORIAL SCHOOL,10 SECOND ST,GLACE BAY NS,B1A 5Z4,,,,9028492003,9028422212,RMULLER@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,960,JUBILEE ELEMENTARY SCHOOL,755 MAIN ST,SYDNEY MINES NS,B1V 2L4,,,,9027363310,9027367510,JACKH@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,202,MALCOLM MUNROE MEMORIAL MIDDLE SCHOOL,125 KENWOOD DR,SYDNEY NS,B1S 1T8,,,,9025644587,9025641666,SMCAMPBELL@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,183,MARION BRIDGE SCHOOL,3845 GABARUS HWY,MARION BRIDGE NS,B1K 1A6,,,,9027272980,9027272765,RUTHCLARKE@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,82,MEMORIAL COMPOSITE HIGH SCHOOL,300 MEMORIAL DR,SYDNEY MINES NS,B1V 2Y5,,,,9027366233,9027363895,NICHOLC7@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,83,MIDDLE RIVER CONSOLIDATED SCHOOL,2248 CABOT TRAIL,MIDDLE RIVER NS,B0E 1B0,,,,9022952842,9022952842,RCORDY@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,997,MOUNTAINVIEW ELEMENTARY SCHOOL,21 DELTA DR,HOWIE CENTRE NS,B1L 1G9,21 DELTA DR,HOWIE CENTRE NS,B1L 1G9,9025628880,9025627271,PAUL3@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,961,NORTH HIGHLANDS ELEMENTARY SCHOOL,1363 BAY ST. LAWRENCE RD,ASPY BAY NS,B0C 1G0,,,,9023832186,9023832381,ANGELACURRIE@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,1154,OCEANVIEW EDUCATION CENTRE,60 WALLACES RD,GLACE BAY NS,B1A 4N5,,,,9028424488,9028495541,GONEILL@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,1142,RANKIN SCHOOL OF THE NARROWS,4144 HWY 223,IONA NS,B2C 1A4,,,,9027252210,9027251255,MACNEILT@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,973,RIVERSIDE SCHOOL,7430 HORNES RD,ALBERT BRIDGE NS,B0A 1P0,,,,9025634535,9025634539,BROWNS5@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,203,RIVERVIEW HIGH SCHOOL,57 COXHEATH RD,SYDNEY NS,B1R 1R4,,,,9025645411,9025672575,JOEMC@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,182,ROBIN FOOTE ELEMENTARY SCHOOL,125 SUNNYDALE DR,WESTMOUNT NS,B1R 1J4,,,,9025393031,9025626816,LASTEPHEN@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,113,SETON ELEMENTARY SCHOOL,25 WILKIE AVE,NORTH SYDNEY NS,B2A 1Y5,,,,9027942419,9027946241,BRIGGSJ1@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,646,SHERWOOD PARK EDUCATION CENTRE,500 TERRACE ST,SYDNEY NS,B1P 6N1,,,,9025637732,9025626834,GARTLAND@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,972,SHIPYARD ELEMENTARY SCHOOL,30 MT. KEMMEL ST,SYDNEY NS,B1S 3V6,,,,9025628878,9025628674,OLIVERG@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,561,ST. ANNE'S ELEMENTARY SCHOOL,30 OFFICIAL ROW,GLACE BAY NS,B1A 2W9,,,,9028495661,9028491645,TETTINGER@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,688,SYDNEY ACADEMY,49 TERRACE ST,SYDNEY NS,B1P 2L4,,,,9025625464,9025644472,KDEVEAUX@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,117,SYDNEY MINES MIDDLE SCHOOL,596 MAIN ST,SYDNEY MINES NS,B1V 2K8,,,,9027368549,9027360945,LISAML@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,185,SYDNEY RIVER ELEMENTARY SCHOOL,35 PHILLIPS ST,SYDNEY RIVER NS,B1S 1M8,,,,9025672144,9025670079,KMCNENLY@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,175,TOMPKINS MEMORIAL ELEMENTARY SCHOOL,60 MAIN ST,RESERVE MINES NS,B1E 1E5,,,,9028493803,9028491586,MCLEODM2@GNSPES.CA
2018-2019,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,667,WHITNEY PIER MEMORIAL MIDDLE SCHOOL,199 JAMIESON ST,WHITNEY PIER NS,B1N 2P7,,,,9025626130,9025626720,DELM@GNSPES.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,934,ANTIGONISH EDUCATION CENTRE,30 APPLESEED DR,ANTIGONISH NS,B2G 3B6,,,,9028678800,9028678804,JOANNE.LANDRY@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,932,BAYVIEW EDUCATION CENTRE,PO BOX 148,PORT HOOD NS,B0E 2W0,133 COMPANY RD,PORT HOOD NS,B0E 2W0,9027875220,9027875224,MELANIEM.MACDONALD@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,974,CAPE BRETON HIGHLANDS EDUCATION CENTRE/ACADEMY,PO BOX 3,MARGAREE HARBOUR NS,B0E 2B0,11070 CABOT TRAIL,TERRE NOIRE NS,B0E 1C0,9022357500,9022357504,PETER.GOOSENS@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,986,CHEDABUCTO EDUCATION CENTRE/ GUYSBOROUGH ACADEMY,PO BOX 19,GUYSBOROUGH NS,B0H 1N0,27 GREEN ST,GUYSBOROUGH NS,B0H 1N0,9025334006,9025333554,BARBARA.AVERY@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,930,DALBRAE ACADEMY,PO BOX 220,MABOU NS,B0E 1X0,11156 HWY 19 SW,MABOU NS,B0E 1X0,9029455325,9029455329,ANNC.WHALLEY@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,707,DR. JOHN HUGH GILLIS REGIONAL HIGH SCHOOL,105 BRAEMORE AVE,ANTIGONISH NS,B2G 1L3,,,,9028631620,9028638284,JACK.MACDONALD@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,975,EAST ANTIGONISH EDUCATION CENTRE/ACADEMY,10128 RTE 4,MONASTERY NS,B0H 1W0,,,,9022322810,9022323829,RICHARD.BRITTEN@SRCE.CA
