Year,Board Code,Board Name,School Code,School Name,School Total
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,96,BADDECK ACADEMY               ,350
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,93,BOULARDERIE ELEMENTARY SCHOOL ,120
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,101,BRAS D'OR ELEMENTARY SCHOOL   ,316
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,640,BRETON EDUCATION CENTRE       ,934
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,551,BRIDGEPORT SCHOOL             ,132
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,995,BROOKLAND ELEMENTARY SCHOOL   ,525
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,107,CABOT EDUCATION CENTRE        ,243
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,962,CAPE SMOKEY ELEMENTARY SCHOOL ,126
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,186,COXHEATH ELEMENTARY SCHOOL    ,303
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,1101,CUSACK SCHOOL                 ,412
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,996,DONKIN SCHOOL                 ,190
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,98,DR. T. L. SULLIVAN MIDDLE SCHOOL     ,293
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,99,FLORENCE ELEMENTARY SCHOOL    ,151
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,626,GEORGE D. LEWIS SCHOOL        ,137
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,442,GLACE BAY ADULT EDUCATION CENTRE   ,47
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,416,GLACE BAY ELEMENTARY SCHOOL   ,496
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,8,GLACE BAY HIGH SCHOOL         ,882
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,964,HARBOURSIDE ELEMENTARY SCHOOL ,476
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,668,HOLY ANGELS HIGH SCHOOL             ,305
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,549,JOHN BERNARD CROAK V. C. MEMORIAL SCHOOL  ,182
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,960,JUBILEE ELEMENTARY SCHOOL     ,291
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,545,MACDONALD ELEMENTARY SCHOOL         ,135
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,206,MACLENNAN MIDDLE SCHOOL       ,181
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,202,MALCOLM MUNROE MEMORIAL MIDDLE SCHOOL     ,653
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,183,MARION BRIDGE SCHOOL          ,88
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,82,MEMORIAL COMPOSITE HIGH SCHOOL,1030
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,83,MIDDLE RIVER CONSOLIDATED SCHOOL     ,22
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,180,MIRA ROAD SCHOOL              ,176
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,552,MORRISON JUNIOR HIGH SCHOOL          ,307
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,643,MOUNT CARMEL ELEMENTARY SCHOOL,186
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,997,MOUNTAINVIEW ELEMENTARY SCHOOL,319
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,444,NEW WATERFORD ADULT EDUCATION CENTRE ,24
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,963,NEW WATERFORD ELEMENTARY SCHOOL ,360
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,961,NORTH HIGHLANDS ELEMENTARY SCHOOL    ,116
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,929,NORTHSIDE ADULT EDUCATION CENTRE   ,21
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,95,RANKIN MEMORIAL SCHOOL              ,132
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,973,RIVERSIDE ELEMENTARY SCHOOL   ,192
