OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
1765874,MCDONALD LAKE DR,MCDONALD LAKE,DR,Mcdonald Lake Dr,Mcdonald Lake,HATCHET LAKE,HATCHET LAKE,8174,8174,1104.207953
1765875,MCDOUGALL RD,MCDOUGALL,RD,Mcdougall Rd,Mcdougall,COOKS BROOK,COOKS BROOK,8176,8176,1640.262699
1765876,MCFETRIDGE RD,MCFETRIDGE,RD,Mcfetridge Rd,Mcfetridge,CHASWOOD,CHASWOOD,8177,8177,3784.18733
1765877,MCGRATHS COVE RD,MCGRATHS COVE,RD,Mcgraths Cove Rd,Mcgraths Cove,MCGRATHS COVE,MCGRATHS COVE,8178,8178,2404.393659
1765878,MCKAY LANE,MCKAY,LANE,Mckay Lane,Mckay,EASTERN PASSAGE,EASTERN PASSAGE,8180,8180,504.4892908
1765879,PENNS RD,PENNS,RD,Penns Rd,Penns,SHAD BAY,SHAD BAY,8430,8430,153.6333342
1765880,PENTICTON DR,PENTICTON,DR,Penticton Dr,Penticton,EAST PRESTON,EAST PRESTON,8432,8432,218.4289411
1765881,PERRY GRANT DR,PERRY GRANT,DR,Perry Grant Dr,Perry Grant,MEAGHERS GRANT,MEAGHERS GRANT,8436,8436,2061.836152
1765882,MAPLE DR,MAPLE,DR,Maple Dr,Maple,MIDDLE MUSQUODOBOIT,MIDDLE MUSQUODOBOIT,8126,8126,596.5523698
1765883,MAPLE DR,MAPLE,DR,Maple Dr,Maple,WHITES LAKE,WHITES LAKE,8127,8127,220.5525731
1765884,MAPLE PL,MAPLE,PL,Maple Pl,Maple,UPPER TANTALLON,UPPER TANTALLON,8130,8130,208.3689115
1765885,MAPLEWOOD CRT,MAPLEWOOD,CRT,Maplewood Crt,Maplewood,BEAVER BANK,BEAVER BANK,8135,8135,469.9269562
1765886,MAPLEWOOD DR,MAPLEWOOD,DR,Maplewood Dr,Maplewood,TIMBERLEA,TIMBERLEA,8136,8136,850.4612197
1765887,PADDINGTON WAY,PADDINGTON,WAY,Paddington Way,Paddington,STILLWATER LAKE,STILLWATER LAKE,8394,8394,161.538959
1765888,PALMER RD,PALMER,RD,Palmer Rd,Palmer,WAVERLEY,WAVERLEY,8396,8396,385.5847065
1765889,PANAVISTA DR,PANAVISTA,DR,Panavista Dr,Panavista,WESTPHAL,WESTPHAL,8397,8397,509.0608851
1765890,PARK TERR,PARK,TERR,Park Terr,Park,HAMMONDS PLAINS,HAMMONDS PLAINS,8400,8400,226.2433753
1765891,PARKCREST DR,PARKCREST,DR,Parkcrest Dr,Parkcrest,LAWRENCETOWN,LAWRENCETOWN,8403,8403,1084.253286
1765892,PARKDALE AVE,PARKDALE,AVE,Parkdale Ave,Parkdale,TIMBERLEA,TIMBERLEA,8404,8404,1126.403554
1765893,PARKER HILL RD,PARKER HILL,RD,Parker Hill Rd,Parker Hill,UPPER MUSQUODOBOIT,UPPER MUSQUODOBOIT,8406,8406,1469.734172
1765894,SOUTHGATE DR,SOUTHGATE,DR,Southgate Dr,Southgate,BEDFORD,BEDFORD,16002,16002,2389.907144
1765895,BLUESTONE RD,BLUESTONE,RD,Bluestone Rd,Bluestone,MONTAGUE GOLD MINES,MONTAGUE GOLD MINES,16009,16009,3289.371513
1765896,ALBERT WALKER DR,ALBERT WALKER,DR,Albert Walker Dr,Albert Walker,HALIFAX,HALIFAX,16010,16010,587.0388182
1765897,STELLA DR,STELLA,DR,Stella Dr,Stella,PORTERS LAKE,PORTERS LAKE,16299,16299,735.8686356
1765898,PEARL LANE,PEARL,LANE,Pearl Lane,Pearl,TANTALLON,TANTALLON,16472,16472,432.9364699
1765899,OWEN DR,OWEN,DR,Owen Dr,Owen,BEAVER BANK,BEAVER BANK,16473,16473,163.78377
1765900,BERT FOX RD,BERT FOX,RD,Bert Fox Rd,Bert Fox,ELDERBANK,ELDERBANK,16474,16474,252.4982985
1765901,GARDENERS WALK,GARDENERS,WALK,Gardeners Walk,Gardeners,BEAVER BANK,BEAVER BANK,16475,16475,365.7697502
1765902,DAISYWOOD DR,DAISYWOOD,DR,Daisywood Dr,Daisywood,HAMMONDS PLAINS,HAMMONDS PLAINS,16476,16476,1732.106733
1765903,KENWOOD AVE,KENWOOD,AVE,Kenwood Ave,Kenwood,HAMMONDS PLAINS,HAMMONDS PLAINS,7919,7919,281.3325625
1765904,KERRY DR,KERRY,DR,Kerry Dr,Kerry,LAWRENCETOWN,LAWRENCETOWN,7920,7920,685.4046471
1765905,KETCH CRT,KETCH,CRT,Ketch Crt,Ketch,HEAD OF ST MARGARETS BAY,HEAD OF ST MARGARETS BAY,7921,7921,765.5484283
1765906,KINCLAVEN DR,KINCLAVEN,DR,Kinclaven Dr,Kinclaven,FALL RIVER,FALL RIVER,7925,7925,667.8525291
1765907,SUMMER LANE,SUMMER,LANE,Summer Lane,Summer,WELLINGTON,WELLINGTON,7927,7927,430.4818917
1765908,SIDING LANE,SIDING,LANE,Siding Lane,Siding,OAKFIELD,OAKFIELD,7928,7928,148.9074124
1765909,CHRISTOPHER KING LANE,CHRISTOPHER KING,LANE,Christopher King Lane,Christopher King,OAKFIELD,OAKFIELD,7930,7930,451.8958178
1765910,MERGANSER AVE,MERGANSER,AVE,Merganser Ave,Merganser,TIMBERLEA,TIMBERLEA,8204,8204,764.3452192
1765911,RIDGEWOOD DR,RIDGEWOOD,DR,Ridgewood Dr,Ridgewood,HEAD OF ST MARGARETS BAY,HEAD OF ST MARGARETS BAY,8534,8534,643.5417819
1765912,RILEY RD,RILEY,RD,Riley Rd,Riley,HAMMONDS PLAINS,HAMMONDS PLAINS,8535,8535,1513.740549
1765913,RITA LANE,RITA,LANE,Rita Lane,Rita,BEAVER BANK,BEAVER BANK,8537,8537,80.4653489
1765914,PARTRIDGE NEST DR,PARTRIDGE NEST,DR,Partridge Nest Dr,Partridge Nest,MINEVILLE,MINEVILLE,8416,8416,835.3667503
1765915,PATTON RD,PATTON,RD,Patton Rd,Patton,UPPER SACKVILLE,UPPER SACKVILLE,8421,8421,3217.546137
1765916,PAUL DAVID DR,PAUL DAVID,DR,Paul David Dr,Paul David,MIDDLE SACKVILLE,MIDDLE SACKVILLE,8422,8422,401.2573496
1765917,PEMBROOKE ST,PEMBROOKE,ST,Pembrooke St,Pembrooke,WAVERLEY,WAVERLEY,8428,8428,388.2666902
1765918,PENNINGTON DR,PENNINGTON,DR,Pennington Dr,Pennington,BEAVER BANK,BEAVER BANK,8429,8429,471.8122052
1765919,KILLEN LANE,KILLEN,LANE,Killen Lane,Killen,ELDERBANK,ELDERBANK,10054,10054,918.4159452
1765920,MALLARD DR,MALLARD,DR,Mallard Dr,Mallard,HUBLEY,HUBLEY,8118,8118,1204.398543
1765921,MANCHESTER DR,MANCHESTER,DR,Manchester Dr,Manchester,STILLWATER LAKE,STILLWATER LAKE,8119,8119,478.406598
1765922,MANDAVILLE DR,MANDAVILLE,DR,Mandaville Dr,Mandaville,UPPER SACKVILLE,UPPER SACKVILLE,8120,8120,767.9020573
1765923,MAPLE DR,MAPLE,DR,Maple Dr,Maple,TIMBERLEA,TIMBERLEA,8124,8124,611.8612378
1765924,MAPLE DR,MAPLE,DR,Maple Dr,Maple,LAWRENCETOWN,LAWRENCETOWN,8125,8125,485.6943429
1765925,CHALAMONT DR,CHALAMONT,DR,Chalamont Dr,Chalamont,HAMMONDS PLAINS,HAMMONDS PLAINS,7245,7245,1304.639407
1765926,CHAMBERLAIN DR,CHAMBERLAIN,DR,Chamberlain Dr,Chamberlain,WESTPHAL,WESTPHAL,7246,7246,940.9128067
1765927,CHARLES RD,CHARLES,RD,Charles Rd,Charles,TIMBERLEA,TIMBERLEA,7252,7252,2214.424642
1765928,CHARLES GRAY RD,CHARLES GRAY,RD,Charles Gray Rd,Charles Gray,WEST PENNANT,WEST PENNANT,7253,7253,1020.456885
1765929,CHARLESWOOD DR,CHARLESWOOD,DR,Charleswood Dr,Charleswood,WINDSOR JUNCTION,WINDSOR JUNCTION,7256,7256,808.9326549
1765930,CHARTWELL RD,CHARTWELL,RD,Chartwell Rd,Chartwell,WINDSOR JUNCTION,WINDSOR JUNCTION,7257,7257,229.616286
1765931,MEADOW RD,MEADOW,RD,Meadow Rd,Meadow,CHASWOOD,CHASWOOD,7260,7260,4640.26084
1765932,CHATER DR,CHATER,DR,Chater Dr,Chater,EAST PRESTON,EAST PRESTON,7261,7261,399.7863397
1765933,ROSEHEDGE LANE,ROSEHEDGE,LANE,Rosehedge Lane,Rosehedge,DARTMOUTH,DARTMOUTH,6579,6579,248.9960169
1765934,RUBEN CRT,RUBEN,CRT,Ruben Crt,Ruben,DARTMOUTH,DARTMOUTH,6585,6585,346.4505747
1765935,SARATOGA DR,SARATOGA,DR,Saratoga Dr,Saratoga,DARTMOUTH,DARTMOUTH,6593,6593,965.2226626
