Word,Frequency,Polarity
struggling,173,NEGATIVE
dynamic,622,POSITIVE
top,22,POSITIVE
worthless,2,NEGATIVE
providence,3,POSITIVE
clearly,3,POSITIVE
shame,34,NEGATIVE
nicely,1,POSITIVE
soft,1,POSITIVE
absence,1,NEGATIVE
hard,3,NEGATIVE
vague,1,NEGATIVE
proven,2,POSITIVE
wrong,7,NEGATIVE
free,94,POSITIVE
flake,335,NEGATIVE
bs,465,NEGATIVE
struggled,6,NEGATIVE
struggle,45,NEGATIVE
worry,23,NEGATIVE
well,12,POSITIVE
unjust,1,NEGATIVE
abused,1,NEGATIVE
hell,2,NEGATIVE
good,33,POSITIVE
led,25,POSITIVE
undisputed,2,POSITIVE
gain,5,POSITIVE
cute,4,POSITIVE
winning,1,POSITIVE
unnecessary,1,NEGATIVE
smash,7,NEGATIVE
succeeded,3,POSITIVE
lack,2,NEGATIVE
deadly,1,NEGATIVE
happy,25,POSITIVE
loves,2,POSITIVE
love,8,POSITIVE
fascinating,1,POSITIVE
masters,5,POSITIVE
emergency,6,NEGATIVE
risk,1,NEGATIVE
suffered,1,NEGATIVE
problem,4,NEGATIVE
shit,1,NEGATIVE
freedoms,1,POSITIVE
better,13,POSITIVE
admire,1,POSITIVE
lethal,1,NEGATIVE
sue,3,NEGATIVE
bad,3,NEGATIVE
killed,1,NEGATIVE
optimistic,2,POSITIVE
fall,12,NEGATIVE
gaining,1,POSITIVE
fictional,1,NEGATIVE
conspiracy,2,NEGATIVE
right,16,POSITIVE
like,27,POSITIVE
abundant,1,POSITIVE
shock,1,NEGATIVE
humble,1,POSITIVE
selective,1,POSITIVE
attacks,1,NEGATIVE
problems,2,NEGATIVE
death,12,NEGATIVE
mindless,10,NEGATIVE
salute,3,POSITIVE
honor,3,POSITIVE
saint,3,POSITIVE
win,6,POSITIVE
thank,25,POSITIVE
bored,1,NEGATIVE
comfort,2,POSITIVE
affordable,6,POSITIVE
lead,4,POSITIVE
ready,3,POSITIVE
super,8,POSITIVE
ignorant,2,NEGATIVE
limited,9,NEGATIVE
supports,18,POSITIVE
solid,7,POSITIVE
worth,9,POSITIVE
helped,8,POSITIVE
valuable,9,POSITIVE
fraud,2,NEGATIVE
propaganda,1,NEGATIVE
fuck,4,NEGATIVE
works,2,POSITIVE
stupid,3,NEGATIVE
great,16,POSITIVE
visionary,1,POSITIVE
formidable,1,POSITIVE
dead,4,NEGATIVE
approval,1,POSITIVE
virus,1,NEGATIVE
supported,4,POSITIVE
layoff,30,NEGATIVE
support,12,POSITIVE
disadvantaged,17,NEGATIVE
stuck,14,NEGATIVE
worked,5,POSITIVE
shocked,1,NEGATIVE
dinky,1,NEGATIVE
acumen,1,POSITIVE
convenience,1,POSITIVE
talent,1,POSITIVE
destruction,1,NEGATIVE
famous,1,POSITIVE
available,6,POSITIVE
positive,8,POSITIVE
excited,36,POSITIVE
damaged,1,NEGATIVE
relief,13,POSITIVE
excel,12,POSITIVE
reforms,1,POSITIVE
issues,2,NEGATIVE
lies,1,NEGATIVE
difficult,6,NEGATIVE
confused,3,NEGATIVE
poor,6,NEGATIVE
nervous,1,NEGATIVE
uneven,1,NEGATIVE
inequities,1,NEGATIVE
issue,11,NEGATIVE
prefer,1,POSITIVE
disaster,2,NEGATIVE
work,13,POSITIVE
advantage,1,POSITIVE
debt,6,NEGATIVE
grand,17,POSITIVE
loses,1,NEGATIVE
fine,7,POSITIVE
worthwhile,1,POSITIVE
safe,38,POSITIVE
belated,2,NEGATIVE
lacking,1,NEGATIVE
intelligence,3,POSITIVE
grace,2,POSITIVE
sad,2,NEGATIVE
promised,1,POSITIVE
promises,1,POSITIVE
upheld,1,POSITIVE
crisis,5,NEGATIVE
oddly,1,NEGATIVE
dignity,1,POSITIVE
freedom,3,POSITIVE
recommendations,6,POSITIVE
challenging,4,NEGATIVE
shortage,1,NEGATIVE
willing,3,POSITIVE
disagree,1,NEGATIVE
loss,21,NEGATIVE
interfere,1,NEGATIVE
infection,1,NEGATIVE
honored,13,POSITIVE
scrap,1,NEGATIVE
shortsighted,19,NEGATIVE
trump,8,POSITIVE
